Elapsed_Time(s),Target_X,Target_Y,Error_X,Error_Y,PWM_X,PWM_Y
0.14921,0,0,-320,-200,1700,1550
0.26293,0,0,-320,-200,1700,1550
0.266885,0,0,-320,-200,1700,1550
0.27074,0,0,-320,-200,1700,1550
0.280519,0,0,-320,-200,1700,1550
0.296736,0,0,-320,-200,1700,1550
0.313367,319.526,217.038,-0.474274,17.038,1700,1550
0.33241,319.938,216.806,-0.0625,16.8056,1700,1550
0.347971,320.546,216.839,0.546478,16.839,1700,1529.52
0.366018,321.013,216.907,1.01334,16.9067,1700,1523.03
0.37984,321.669,216.374,1.66891,16.3739,1700,1517.29
0.397228,322.205,212.497,2.20459,12.4974,1700,1514.49
0.412653,323.036,205.031,3.03647,5.03125,1700,1525.02
0.430721,323.709,200.627,3.70886,0.626587,1700,1525.02
0.445963,324.425,198.569,4.42535,-1.43149,1700,1525.02
0.463757,325.008,195.093,5.00848,-4.90659,1700,1525.02
0.479255,325.586,193.966,5.58612,-6.03355,1693.19,1532.38
0.497197,326.323,195.039,6.32251,-4.96104,1689.19,1528.01
0.512612,327.025,194.823,7.02499,-5.17708,1685.19,1528.01
0.530529,326.449,193.327,6.44937,-6.67299,1681.19,1535.39
0.547076,326.017,195.312,6.01709,-4.68803,1677.19,1530.15
0.564798,326.487,195.056,6.487,-4.94373,1673.19,1530.15
0.579366,325.684,193.147,5.6842,-6.85307,1669.19,1538.88
0.597276,324.231,193.171,4.23126,-6.82916,1673.31,1541.68
0.612673,322.034,194.51,2.03442,-5.49033,1673.31,1535.91
0.630531,321.17,194.183,1.16998,-5.81677,1673.31,1542.36
0.645978,321.93,193.597,1.9303,-6.40305,1673.31,1545.29
0.663848,322.636,194.808,2.63599,-5.19223,1673.31,1540.64
0.679334,324.407,197.622,4.40656,-2.37766,1673.31,1540.64
0.697196,326.462,199.135,6.4617,-0.865417,1666.15,1540.64
0.712704,328.62,200.4,8.6199,0.400406,1661.05,1540.64
0.730552,330.95,200.656,10.95,0.65625,1655.18,1540.64
0.745995,333.034,200.571,13.034,0.571121,1648.46,1540.64
0.76393,334.175,200.961,14.1754,0.960526,1642.23,1540.64
0.779919,334.128,201.122,14.1282,1.1218,1636.88,1540.64
0.797149,334.753,200.817,14.7527,0.8172,1630.79,1540.64
0.812639,335.987,200.413,15.9875,0.412506,1623.66,1540.64
0.830516,336.636,199.203,16.6364,-0.796539,1616.84,1540.64
0.845983,336.749,199.394,16.7495,-0.606262,1610.36,1540.64
0.86385,337.5,200,17.5,0,1603.14,1540.64
0.879325,338.704,198.695,18.7037,-1.30501,1594.99,1540.64
0.897221,339.264,198.182,19.2644,-1.81778,1587.24,1540.64
0.912685,340.169,199,20.1688,-1,1578.79,1540.64
0.930445,341.48,198.108,21.4796,-1.89247,1569.63,1540.64
0.945991,342.342,197.93,22.342,-2.06972,1560.39,1540.64
0.963855,343.713,198.843,23.713,-1.15674,1550.35,1540.64
0.979322,345.176,198.724,25.1762,-1.276,1550.35,1540.64
0.997231,347.237,198.878,27.2375,-1.12201,1537.4,1540.64
1.01263,347.493,199.302,27.4933,-0.698196,1526.69,1540.64
1.03042,349.28,201.127,29.2802,1.12679,1514.22,1540.64
1.04588,351.911,200.835,31.9114,0.835449,1499.83,1540.64
1.06378,351.588,199.934,31.5883,-0.0662689,1488.01,1540.64
1.07924,350.069,203.665,30.0688,3.66458,1477.81,1540.64
1.0973,349.951,205.958,29.9507,5.95775,1466.47,1534.08
1.11257,350.924,206.252,30.9238,6.25238,1453.84,1531.28
1.13052,349.494,206.685,29.4938,6.68518,1443.61,1528.42
1.14603,348.607,209.11,28.6071,9.11038,1433.43,1522.91
1.16389,347.048,208.841,27.0476,8.84126,1424.24,1519.74
1.1793,344.522,208.528,24.5215,8.52835,1417,1516.75
1.19755,341.244,208.732,21.2439,8.7317,1417,1516.75
1.21291,338.832,209.43,18.8321,9.43002,1413,1512.39
1.23068,337.969,208.859,17.9688,8.85938,1406.76,1509.43
1.24612,337.331,209.029,17.3309,9.02919,1400.66,1505.84
1.26401,337.445,210.196,17.4453,10.1959,1393.9,1501.11
1.27936,336.64,210.698,16.6399,10.6983,1388.22,1496.6
1.29738,336,210.5,16,10.5,1382.55,1492.74
1.31289,335.44,210.704,15.4403,10.704,1377.11,1488.49
1.33064,333.524,210.704,13.5238,10.7043,1373.11,1484.4
1.3461,333.419,212.627,13.4191,12.6275,1368.05,1477.97
1.36389,331.62,212.319,11.6201,12.3194,1364.05,1473.49
1.37945,330.273,211.81,10.2732,11.8095,1360.05,1469.41
1.39728,328.62,208.759,8.6203,8.75938,1356.05,1466.61
1.41287,328.005,206.231,8.005,6.23058,1352.05,1463.81
1.43128,327.501,204.773,7.50122,4.77284,1348.05,1468.21
1.44617,327.224,202.99,7.22391,2.98982,1344.05,1468.21
1.46392,325.113,201.705,5.11337,1.70522,1349.34,1468.21
1.47932,323.373,204.155,3.37323,4.15492,1349.34,1468.21
1.49736,321.156,204.984,1.1561,4.98413,1349.34,1468.21
1.5128,320.484,205,0.484375,5,1349.34,1468.21
1.53052,321.079,206.008,1.07858,6.00813,1349.34,1461.52
1.54606,321.679,206.568,1.67902,6.5679,1349.34,1458.55
1.56631,322.44,207.704,2.44031,7.70398,1349.34,1454.88
1.58243,323.089,208.605,3.08871,8.60484,1349.34,1450.87
1.59814,323.5,207.862,3.5,7.86198,1349.34,1448.07
1.61281,323.966,206.428,3.96588,6.42783,1349.34,1445.27
1.63064,324.477,205.414,4.47656,5.41406,1349.34,1449.96
1.64601,324.941,204.977,4.94067,4.9774,1349.34,1449.96
1.66392,325.111,204.631,5.11111,4.63144,1349.34,1449.96
1.67937,325.492,202.931,5.49207,2.93121,1349.34,1449.96
1.69934,325.753,203.373,5.7533,3.3727,1343.4,1449.96
1.71279,325.979,203.757,5.97867,3.75734,1339.4,1449.96
